address,symbol,decimals,name
DNhZkUaxHXYvpxZ7LNnHtss8sQgdAfd1ZYS1fB7LKWUZ,apUSDT,6,Wrapped USDT (Allbridge from Polygon)
eqKJTf1Do4MDPyKisMYqVaUFpkEFAs3riGF3ceDH2Ca,apUSDC,6,Wrapped USDC (Allbridge from Polygon)
SNSNkV9zfG5ZKWQs6x4hxvBRV6s8SqMfSGCtECDvdMd,SNS,9,SynesisOne
5oVNBeEEQvYi1cX3ir8Dx5n1P7pdxydbGF2X4TxVusJm,INF,9,Infinity
a11bdAAuV8iB2fu7X6AxAvDTo1QZ8FXB3kk5eecdasp,ABR,9,Allbridge
Bn113WT6rbdgwrm12UJtnmNqGqZjY4it2WoUQuQopFVn,aeUSDT,9,Wrapped USDT (Allbridge from Ethereum)
DdFPRnccQqLD4zCHrBqdY95D6hvw6PLWp9DEXj1fLCL9,aeUSDC,9,Wrapped USDC (Allbridge from Ethereum)
MNDEFzGvMt87ueuHvVU9VcTqsAP5b3fTGPsHuuPA5ey,MNDE,9,Marinade
E6UU5M1z4CvSAAF99d9wRoXsasWMEXsvHrz3JQRXtm2X,DGLN,9,Dogelana
7kbnvuGBxxj8AG9qp8Scn56muWGaRaFqxg1FsRp3PaFT,UXD,6,UXD Stablecoin
A9mUU4qviSctJVPJdBJWkb28deg915LYJKrzQ19ji3FM,USDCet,6,USD Coin (Portal from Ethereum)
E2VmbootbVCBkMNNxKQgCLMS1X3NoGMaYAsufaAsf7M,USDCpo,6,USD Coin (Portal from Polygon)
Dn4noZ5jgGfkntzcQSUZ8czkreiZ1ForXYoV2H8Dm7S1,USDTet,6,Tether USD (Portal from Ethereum)
5goWRao6a3yNC4d6UjMdQxonkCMvKBwdpubU3qhfcdf1,USDTpo,6,Tether USD (Portal from Polygon)
EjmyN6qEC1Tf1JxiG1ae7UTJhUxSwk1TCWNWqxWV4J6o,DAI,8,Dai Stablecoin (Portal)
FwEHs3kJEdMa2qZHv7SgzCiFXUQPEycEXksfBkwmS8gj,aaUSDT,9,Wrapped USDT (Allbridge from Avalanche)
Fd8xyHHRjTvxfZrBirb6MaxSmrZYw99gRSqFUKdFwFvw,aaWBTC,9,Wrapped BTC (Allbridge from Avalanche)
AUrMpCDYYcPuHhyNX8gEEqbmDPFUpBpHrNW3vPeCFn5Z,AVAX,9,AVAX (Allbridge from Avalanche)
AURYydfxJib1ZkTir1Jn1J9ECYUtjb6rKQVmtYaixWPP,AURY,9,Aurory
9vMJfxuKxXBoEa7rM12mYLMwTacLMLDJqHozw96WQL8i,UST,6,UST (Portal)
7vfCXTUXx5WJV5JADk17DUJ4ksgau7utNKj4b963voxs,ETH,8,Ether (Portal)
F6v4wfAdJB8D8p77bMXZgYt8TDKsYxLYxH5AFhUkYx9W,LUNA,6,LUNA (Portal)
KgV1GvrHQmRBY8sHQQeUKwTm2r2h8t4C8qt12Cw1HVE,AVAX,8,AVAX (Portal)
8FU95xFJhUUkyyCLU13HSzDLs7oC4QZdXQHL6SCeab36,UNI,8,Uniswap (Portal)
9gP2kCy3wA1ctvYWQk75guqXuHfrEomqydHLtcTCqiLa,BNB,8,Binance Coin (Portal)
HxhWkVpk5NS4Ltg5nij2G671CKXFRKPK8vy271Ub4uEK,HXRO,8,Hxro (Portal)
SAMUmmSvrE8yqtcG94oyP1Zu2P9t8PSRSV3vewsGtPM,SAMU,9,Samusky Token
GfzU1fLASNV3r4NtEyrnwTyTakJkYzoivnaL3Snh45oj,ahUSDT,9,Wrapped USDT (Allbridge from HECO)
